v_ID,v_Frame_output,v_Vel_output,Frame_ID,v_Vel,v_Acc,Space_Headway,Time_Headway
456,1081,27.95,1080,30.0,0.0,41.52,1.38
472,1082,20.0,1081,27.95,11.2,46.37,1.66
456,1082,28.69,1081,30.0,0.0,41.78,1.39
456,1083,28.94,1082,30.0,0.0,42.03,1.4
472,1083,20.0,1082,28.69,5.46,46.49,1.62
456,1084,28.8,1083,30.0,0.02,42.28,1.41
472,1084,20.0,1083,28.94,-1.82,46.55,1.61
456,1085,28.78,1084,30.0,0.0,42.53,1.42
472,1085,20.0,1084,28.8,-2.88,46.65,1.62
456,1086,29.14,1085,30.0,0.0,42.79,1.43
472,1086,20.0,1085,28.78,2.42,46.82,1.63
472,1087,20.0,1086,29.14,5.69,46.95,1.61
456,1087,29.61,1086,30.0,0.0,43.04,1.43
472,1088,20.0,1087,29.61,4.56,47.0,1.59
456,1088,29.93,1087,29.98,-0.27,43.29,1.44
472,1089,20.0,1088,29.93,1.66,47.01,1.57
456,1089,30.03,1088,29.84,-2.15,43.53,1.46
472,1090,20.0,1089,30.03,-0.13,46.97,1.56
456,1090,30.01,1089,29.67,-1.8,43.82,1.48
456,1091,30.0,1090,29.89,4.37,44.16,1.48
472,1091,20.0,1090,30.01,-0.26,46.88,1.56
456,1092,30.0,1091,30.64,11.2,44.45,1.45
472,1092,20.0,1091,30.0,0.0,46.85,1.56
472,1093,20.0,1092,30.0,0.0,46.97,1.57
456,1093,30.0,1092,31.62,11.09,44.57,1.41
472,1094,20.0,1093,30.0,0.0,47.24,1.57
456,1094,30.0,1093,32.22,1.75,44.47,1.38
472,1095,19.98,1094,30.0,0.0,47.53,1.58
456,1095,30.0,1094,32.09,-5.99,44.29,1.38
456,1096,30.0,1095,31.73,-3.5,44.2,1.39
472,1096,19.96,1095,30.0,0.0,47.7,1.59
456,1097,30.0,1096,31.81,4.88,44.05,1.38
472,1097,20.08,1096,30.0,0.0,47.8,1.59
456,1098,30.0,1097,32.56,11.2,43.69,1.34
472,1098,20.48,1097,30.0,0.0,47.96,1.6
472,1099,21.22,1098,30.0,0.0,48.27,1.61
456,1099,30.0,1098,33.63,11.08,43.22,1.29
456,1100,30.0,1099,34.48,6.25,42.82,1.24
472,1100,22.1,1099,30.0,0.0,48.72,1.62
472,1101,22.83,1100,30.0,0.02,49.23,1.64
456,1101,30.0,1100,34.91,1.89,42.51,1.22
472,1102,23.32,1101,30.0,0.0,49.74,1.66
456,1102,30.0,1101,35.04,0.08,42.4,1.21
456,1103,29.89,1102,35.04,-0.08,42.38,1.21
472,1103,23.73,1102,30.0,0.0,50.25,1.68
456,1104,29.64,1103,34.91,-1.89,42.37,1.21
472,1104,24.05,1103,29.89,-1.77,50.75,1.7
472,1105,24.19,1104,29.64,-3.33,51.27,1.73
477,1105,25.0,1104,24.05,3.19,75.63,3.14
456,1105,29.45,1104,34.48,-6.2,42.36,1.23
477,1106,25.0,1105,24.19,0.3,76.13,3.15
